target,spearman_r,spearman_p,pearson_r,pearson_p,in_cluster1,in_cluster2,GRN_coef_KO_DM,GRN_coef_WT_DM
Papln,0.2208619065315543,1.90384139100085e-21,0.21422201793436305,3.046494979719585e-20,True,True,0.301066,0.14366177
Slc5a7,0.19923641115002347,1.1408394632204383e-17,0.19328325998045914,1.0586171213555884e-16,True,True,0.40506595,0.36261222
Xkr6,0.1887878708354026,5.431494361615547e-16,0.185215527592023,1.9356450273768382e-15,True,False,0.19299047,
Igfbp5,0.17748400064874356,2.7784151103320953e-14,0.1713163347292126,2.1390816578893092e-13,True,True,0.61264306,0.23375018
Pde7b,0.17548375611501954,5.430169906237237e-14,0.17548646254782257,5.425277492901348e-14,True,True,0.34069365,0.1562689
Ctnnd2,0.16317400813735763,2.8266402301701437e-12,0.15599342643223313,2.47656764283192e-11,True,True,0.2655262,0.14891091
Erbb4,0.1531191732416537,5.743001027959945e-11,0.14001111691930504,2.181609944413362e-09,True,True,0.30325356,0.18153709
Gpc6,0.15195875611762902,8.029332110891212e-11,0.14586055470815268,4.4800395977779537e-10,True,True,0.6061071,0.30821657
Mtmr9,0.1499707643315903,1.41720252574639e-10,0.14063263639786244,1.8495029008767496e-09,True,True,0.30958742,0.1436024
Rora,0.14939557771521816,1.66808184136426e-10,0.14121564918872453,1.5830345588785725e-09,True,True,0.16519484,0.08568338
Nfib,0.14456635605506174,6.394423434202075e-10,0.12750199855932076,5.196769424997299e-08,True,False,0.095701896,
Col11a1,0.14177175240670045,1.36391095595902e-09,0.13428328413472174,9.660045535560337e-09,True,True,0.113314554,0.11052709
Dach1,0.13145334932917593,1.9698819731258305e-08,0.12190187543163045,1.955992850566965e-07,True,True,0.16051275,0.1430301
Deptor,0.13028999760769294,2.6289469247274482e-08,0.1389000559668308,2.925550947609863e-09,True,True,0.40993696,0.18251792
Btn1a1,0.12899097515402444,3.617871323080317e-08,0.11772177954739421,5.066744469320244e-07,True,True,0.17599118,0.14177711
Fgfr1,0.12726310810928107,5.505562258779404e-08,0.11858319980062229,4.1752375879468183e-07,True,True,0.23582882,0.073628716
Rasgef1c,0.12476999503909855,9.992842154669461e-08,0.1158049310446686,7.756072877020494e-07,True,True,0.1775397,0.08112785
Thsd4,0.11964197820334013,3.2852613057537406e-07,0.11153790473615333,1.953597426090812e-06,True,True,0.30958354,0.13624044
Garnl3,0.11817164351705453,4.5804671016499554e-07,0.11704022028232494,5.899439311702797e-07,True,False,0.10175815,
Nrg2,0.1169658033725595,5.997961167561338e-07,0.10210625933117938,1.3391958526338569e-05,True,False,0.1571383,
Itpr2,0.11461095440366265,1.007745311576495e-06,0.10613268745497273,6.004335688519164e-06,True,True,0.21283118,0.13756655
Dlg2,0.11417803367112854,1.1073928585291647e-06,0.11172070065242694,1.8790693613599444e-06,True,False,0.07426318,
Rftn1,0.11214115131207782,1.7178642508312002e-06,0.11154185795387543,1.9519560458310603e-06,True,True,0.25137165,0.16431358
Arhgef6,0.11045144290915011,2.458627425134887e-06,0.10627683712015384,5.831199434477623e-06,True,True,0.22612523,0.113430254
Dapk1,0.1089588799330017,3.3601749421361055e-06,0.095344824445575,4.825141053887186e-05,True,False,0.18325193,
Grik3,0.10805061752544956,4.0556813014911536e-06,0.10588735065784263,6.310365234033355e-06,True,False,0.08584704,
Ntn1,0.10661450021401633,5.444131261328358e-06,0.10249909844464858,1.2399695281556214e-05,True,False,0.13043025,
Cdc14a,0.10472179431434502,7.979581354488107e-06,0.101111016434936,1.6255787425555616e-05,True,False,0.07375635,
Lama3,0.10136801410375912,1.5464948549047163e-05,0.09359576816979037,6.633675623045559e-05,True,False,0.08080976,
Mme,0.09755972214338895,3.199326188315019e-05,0.08993070473876748,0.000127001504829146,True,True,0.11180472,0.12643327
Ank,0.09748230311068787,3.24608608441178e-05,0.094818264186393,5.313455365176228e-05,False,True,,0.10193639
Prlr,0.09643350344155621,3.947027888978184e-05,0.09527290900716186,4.889232036912336e-05,True,True,0.16281036,0.11366328
Ppp1r2,0.09585468312727052,4.393059655711402e-05,0.08823725813367149,0.0001700807089510824,True,True,0.1706868,0.06668801
Pde4b,0.0952660704848372,4.895368329185526e-05,0.09856096344193238,2.6493821225474314e-05,True,True,0.23357423,0.13187931
Ptn,0.0949596751586089,5.1779087549420235e-05,0.09028028838348442,0.00011949516355213224,True,False,0.15498099,
Gna14,0.09364422498394621,6.57591174674846e-05,0.0904682699579775,0.00011563360758368381,True,True,0.23608474,0.19338965
Tanc2,0.09041107116667536,0.00011679597006374196,0.08188432416797076,0.0004864489586813546,True,False,0.09054991,
Dst,0.08999133696799853,0.00012566854114099823,0.08534407879052486,0.00027688597764019416,True,True,0.19349642,0.12403776
Folr1,0.08959695053157739,0.00013458046414223975,0.0804158263510581,0.0006140099238318821,True,True,0.11775812,0.06629224
Plin2,0.08913076610221084,0.00014588173638841053,0.08340141165631373,0.0003809247854658479,True,True,0.097825214,0.14058578
Rabep2,0.08810929726261564,0.00017384042482703133,0.08602146424499169,0.00024735445981119246,True,False,0.08416922,
Dpyd,0.08765102481838996,0.00018795577415509277,0.08398597154074688,0.0003463009467099492,True,True,0.07888646,0.12695529
Ntn4,0.08397225104056887,0.00034707875556039866,0.08435209527464307,0.0003261375757492489,True,False,0.18924159,
Wfdc2,0.0819865297338012,0.0004785612274066766,0.08777589334183677,0.00018400654546698277,True,False,0.061916098,
Gramd3,0.0818788376696724,0.0004868757873027527,0.07885626783797077,0.0007830739980567693,True,True,0.09600666,0.057650764
Pgm5,0.08169093024495422,0.0005017066683415116,0.07808323798931988,0.0008820237295459339,True,True,0.080209434,0.06263585
Sox6,0.08036081221380718,0.0006193450307703503,0.07538897015691116,0.0013246005682668847,True,False,0.08681479,
Rb1,0.08023719941561802,0.0006314902258739432,0.07508876991531215,0.0013849230467352436,True,True,0.18178022,0.1247382
Osgin2,0.07985576957435123,0.0006703761112138815,0.0759140609308298,0.001224879079046068,True,True,0.11369863,0.058643833
Shroom3,0.07982613613921595,0.0006734884449065297,0.07947119840696268,0.0007118247411232383,True,True,0.17151688,0.14334895
Hivep3,0.07957855606250155,0.000700020658798356,0.08008916836934145,0.0006463257649788502,True,True,0.15713125,0.07384514
Abca1,0.07793420591301253,0.0009023841544141269,0.06531157760549866,0.005428540804441433,True,False,0.06392686,
Plag1,0.07734404809463298,0.0009873593166789799,0.059485810488846214,0.011342582187932741,True,True,0.09533369,0.10682079
Ksr1,0.0772807033241916,0.0009969072333053045,0.07069632550218606,0.002610485395753968,True,True,0.10661195,0.11526226
1110019D14Rik,0.07695760233253338,0.0010469506985670007,0.06878401377808047,0.0034048158608128575,False,True,,0.058029592
Ncald,0.07690462420978482,0.0010553744815349443,0.06687618119357375,0.00441063040072948,True,True,0.10398531,0.059733205
Nhs,0.07570026893660109,0.0012646138972467057,0.0728345030476802,0.0019253398855394444,True,True,0.11074434,0.07247866
Ano4,0.07550446026952477,0.0013020462255562658,0.07149962128152472,0.002330495654091959,True,True,0.13558406,0.10010847
Ano1,0.07529455946510429,0.0013433052489615976,0.07819323556740498,0.0008672699641533624,True,True,0.23237674,0.10696969
Auts2,0.07400718348973924,0.001623862039493112,0.0738011018432467,0.001673480064523095,True,False,0.2346688,
Adcy5,0.07328142617582238,0.0018048535035681287,0.07443152164181592,0.0015259284747045961,True,True,0.073953405,0.06381981
Coro2a,0.07226948043577038,0.0020882194368800847,0.07954389589440095,0.0007038115635021883,True,True,0.16408965,0.057186246
Foxp1,0.07223572083289814,0.0020983401110441814,0.08402985906093999,0.0003438239094884737,True,False,0.08507015,
Afap1l2,0.07156929688425358,0.002307554152611676,0.06447545607621186,0.006055345568018888,True,False,0.07256994,
Crispld2,0.07076648897236738,0.0025848577387409177,0.0728724647577437,0.0019148259779479156,True,True,0.07425636,0.06405396
Aldh1a3,0.07039862658376039,0.0027218237166534522,0.06845841301468396,0.0035601462410358156,True,False,0.11344679,
Nrxn3,0.06991822540656403,0.0029106640954007336,0.06849166312621047,0.0035439937813864543,True,False,0.08079219,
Me1,0.06959974961352122,0.0030423595597117324,0.06927318109628236,0.003183019713143344,True,True,0.122428626,0.10062664
4931406C07Rik,0.06844706865048854,0.0035656724730595253,0.05998294560659051,0.010674995901438446,True,True,0.070238136,0.07039645
Thrb,0.06411859933961236,0.006342156607814861,0.059351150318512895,0.011529673253802853,False,True,,0.078065835
Wwox,0.06396909264842934,0.00646590594326841,0.06390338994888914,0.0065209724465005205,True,True,0.17234594,0.119997635
Itga8,0.06378524599950412,0.006621052064740813,0.05344794499936067,0.022931261209569162,True,True,0.1734818,0.15261589
Commd10,0.06336837234096968,0.006985303462016329,0.05512258071173366,0.018978546037983823,True,False,0.09122253,
Itm2b,0.0632305014168099,0.007109669520988937,0.05548780194928689,0.01820021949400725,True,False,0.1775221,
Lars2,0.06294093602905591,0.007377358293134286,0.06685178598747671,0.004425074770941448,True,False,0.08700944,
Rbms3,0.06191065008164686,0.008404580591803035,0.05588064507712013,0.017394339427012136,True,True,0.124729,0.08440109
Slc12a2,0.061047423624256435,0.009361709386612214,0.06217332481136736,0.008131214280058642,True,False,0.08480129,
Efna5,0.060868542698577284,0.00957179656399453,0.056392903177032785,0.016390559612467662,True,True,0.13292259,0.07714005
Ltbp1,0.05988264907526048,0.01080679911877497,0.05121307795234885,0.029306329510477507,True,True,0.06452929,0.07565385
Pdzd2,0.05935143385332203,0.011529276465048826,0.054687860559660795,0.01994275852590595,True,False,0.07137303,
Chn2,0.05935014537363383,0.011531079707130895,0.05307215335836463,0.023910596889307124,False,True,,0.06779867
Kcnk5,0.05809293232706671,0.013414348643651625,0.05296491667474895,0.02419662611268605,True,True,0.11999365,0.11430367
Egfr,0.05772770062612727,0.014010112458273265,0.060126089721973336,0.010489359108691698,True,True,0.17206691,0.16805598
Pdlim3,0.056707578747096456,0.015799478145461177,0.04781232100932628,0.0419059995301609,True,True,0.25090578,0.06658988
Zswim6,0.0563339230123084,0.016503481797115742,0.05473185391196128,0.019843275075039284,True,False,0.1229756,
Ablim1,0.05575099402359668,0.01765678007653302,0.04771633242229942,0.042319615913370384,False,True,,0.057363547
Hlf,0.05557347497201425,0.018021736769970667,0.04811301544221149,0.04063236516958838,True,False,0.08521333,
Bcl2,0.054386996770292836,0.020634844517349177,0.04869893896446022,0.03824463490842576,True,True,0.13870431,0.068565145
Parm1,0.053728537464086894,0.02222290272389741,0.04556328529669093,0.05254370314036534,True,True,0.08346799,0.085818835
Met,0.053453044350359455,0.022918215034652148,0.04998197223128276,0.0334295666221221,True,False,0.10163443,
Mfge8,0.05312685660227108,0.023765820434880076,0.04640946029221541,0.04830285993123279,True,False,0.11900374,
Txnip,0.05160117013128309,0.02810066278748989,0.0743660694408083,0.0015406709132169876,True,True,0.067372665,0.09019968
Lbp,0.05095875171913026,0.030120330176456257,0.050082442254700335,0.03307542355488332,True,False,0.058851045,
Maml2,0.0489930045534214,0.03709189478289473,0.045399310283706015,0.05340048695370943,True,True,0.2457819,0.18988733
9530026P05Rik,0.048358869864948646,0.03961551910709648,0.040875141205266405,0.08203442068176266,True,False,0.0909507,
Tshz2,0.04813310057626324,0.040548472563718393,0.046626037852881455,0.04726481812121181,True,False,0.21631311,
Esr1,0.04807436290315396,0.04079422476672378,0.03922851522495642,0.0951387099388873,True,False,0.05951845,
Il15,0.046800325320595186,0.046443141296626515,0.042052214847524805,0.07359494813255714,True,True,0.080429584,0.07859353
Barx2,0.04650466365889464,0.04784422317704763,0.03706289845388809,0.11486556300774634,False,True,,0.09218554
Il6ra,0.04581045661951485,0.05127393181831119,0.03487150486414813,0.13796473855344296,True,True,0.069524646,0.07340768
Fam120c,0.04561666911411505,0.052267257771561625,0.03578876127112393,0.1278945751377175,False,True,,0.0643439
Gm15261,0.04556347065639638,0.052542741155751777,0.03962328289948814,0.09185358657355172,True,True,0.07384787,0.061634433
Fut9,0.045523318824744106,0.05275146601041086,0.03628768422914089,0.12266217313662171,True,True,0.1999795,0.096104495
Celf2,0.04492646966606857,0.05593663087858272,0.04332275100970187,0.06529561752105724,True,True,0.08700316,0.06785056
Ank3,0.04480545715869222,0.05660156935821433,0.040453684933210825,0.08524054668344615,True,False,0.10244619,
Osmr,0.04449919228231452,0.0583138478483097,0.046666880086887845,0.04707117985903772,True,True,0.19981621,0.12920345
Arhgap42,0.044390817015930534,0.05892996427123111,0.036989057510010956,0.11559099722191096,True,True,0.10049844,0.07226669
Ehbp1,0.04377280875148112,0.06254737793489805,0.055470888395618215,0.018235637741832355,True,False,0.106535986,
Smyd3,0.043685970146265005,0.06307007777226722,0.03995395428756087,0.08917249177435066,True,True,0.13688374,0.09827556
Ppp3ca,0.04135629924307411,0.0784943377052556,0.044172748476786115,0.06018605897997606,True,True,0.1314717,0.08791577
Igf1r,0.0408340595820904,0.08234257664773643,0.05228520508789093,0.02607943940384893,True,False,0.08919971,
Tgfb3,0.040568907080549124,0.08435412889461322,0.03215983454561916,0.17131274695558754,True,False,0.07590621,
Creb5,0.04025652670747898,0.08677475089175841,0.03756882960938847,0.1099909874006095,True,True,0.12813152,0.12543452
Arl15,0.03944889038036097,0.09329341652807707,0.03718761624454306,0.11364843261511419,True,True,0.08198865,0.13705496
Pip5k1b,0.038586812556732436,0.10067873272245546,0.03377546201371682,0.15078595697760758,True,False,0.08344299,
Pla2g4a,0.03820768058198037,0.10407075225600278,0.039255649090641456,0.09490994184466285,True,False,0.06990033,
Arhgap6,0.037868410518824044,0.1071824733353319,0.033282064386628375,0.1568455831237482,True,False,0.124605894,
Zbtb20,0.03769657267425439,0.1087863954194616,0.032390955877538326,0.16825444833683378,True,False,0.06054572,
Ednra,0.03700009400532056,0.11548234339304354,0.031573601265716664,0.17925629490940564,True,True,0.088682175,0.07950541
Tmtc1,0.036750422129030916,0.11796004866163383,0.03445861026150589,0.14269239235200812,True,True,0.083406396,0.07370719
Nav2,0.035894356623341714,0.1267729288879639,0.04226787417412746,0.07212839456089891,True,False,0.13283889,
Ndrg1,0.035280471490166464,0.13340189539868647,0.027709482203744897,0.23855248220032924,True,True,0.10148813,0.062094066
Glis3,0.0344018780903164,0.1433515712653437,0.032610290723306214,0.1653901601422448,True,False,-0.06058273,
Cytip,0.033274704701845854,0.15693734674848553,0.032924453784988865,0.16135159555480258,True,True,-0.13702808,-0.100007385
Rbm47,0.032366273330159075,0.16857909203110824,0.04158180058194099,0.07687851567447289,True,True,-0.0758933,0.07075963
D17H6S56E-5,0.030346986936385153,0.19675662772541322,0.031166795640023018,0.18492727866803724,True,False,0.0852052,
Cd46,0.02997709976422125,0.20227152132181225,0.016782499449620535,0.47538140619644054,True,True,0.084281914,0.06201085
Setbp1,0.029414511551695492,0.21087397321843943,0.030228353126176305,0.1985133019649523,False,True,,0.07188918
Nr3c2,0.028667672562104975,0.2226979766536382,0.023874879229535427,0.30988712477537356,True,True,0.12419774,0.09857445
Airn,0.026006743920258844,0.2686564412395234,0.027690774436382244,0.23886975277808445,True,False,0.078905195,
Kitl,0.024699944162352352,0.29346001512976827,0.0171439458385822,0.46592522574265655,True,False,0.05894343,
2610307P16Rik,0.023780722243729596,0.31179964688687223,0.025778935412312586,0.27287351396724707,False,True,,0.06912923
Tmprss13,0.023092968367221745,0.3260046561608403,0.010189565130785085,0.6647696603424702,True,True,0.076782756,0.06681551
Slc28a3,0.022571955393728155,0.33704125627506765,0.0209754721145033,0.3723335547532972,True,True,0.17896082,0.16828603
Mrps6,0.022458396595377114,0.3394782625497592,0.012600533422349531,0.5920432894841411,True,False,0.05815148,
Ube2h,0.02210310073666837,0.347175737232961,0.029279651916190034,0.21297481776931906,True,True,0.13215499,0.07808127
Rgs20,0.019679626040534033,0.4026004693294849,0.011166071315597544,0.6348808306026539,False,True,,0.0697585
Cep290,0.01864695757332948,0.4277439715222401,0.010949111509127423,0.641472530513435,False,True,,0.06993926
Rcbtb2,0.018633579157630923,0.4280755927781217,0.012930514883045289,0.5823796967294957,True,False,0.06703357,
Nxn,0.018516627683040965,0.43098092048789627,0.013015196431768752,0.5799116921586958,True,False,-0.07816568,
Cxadr,0.017814585783644015,0.44865967292064735,0.02230711201180879,0.3427423710279135,True,True,0.05995949,0.109415874
Pfkfb3,0.015359400167164049,0.5136147836841418,0.018997173443879332,0.41911619755934937,True,False,0.06959241,
Gpc4,0.014922074900489767,0.5256773248129207,0.011510011694554095,0.6244903720707937,False,True,,0.06555855
Nox4,0.014019160389650644,0.5510318697365775,0.00908792049885812,0.6991374378300351,False,True,,0.0646195
Rhoj,0.013312867120233975,0.5712753383293621,0.008242507754167818,0.7259404872373377,True,False,0.17949098,
Trf,0.010995589825375962,0.6400580186210749,0.013230833065838946,0.5736492894512384,True,False,0.11826965,
Nudt4,0.010574027446760764,0.6529350216249392,0.006267558153648389,0.7898235896913172,True,False,0.06467565,
Tmtc2,0.01040509946016193,0.6581244952718112,0.0025559676975006537,0.9134432626842572,True,False,0.07122008,
Alcam,0.008695946685137743,0.7115204511461874,0.006242189290494711,0.7906544893042086,True,False,0.06682297,
Ror1,0.007702852172828125,0.7432293074732101,0.004922605806143363,0.8341810460845385,False,True,,0.09852076
Tgfbr3,0.007492087216378448,0.7500173835660272,0.0010419853469152314,0.9646557355486753,False,True,,0.07323797
Nhsl1,0.006717310667728244,0.7751334215416603,0.0014915222450032212,0.9494247349572112,False,True,,0.08489988
Grip1,0.003608798871796637,0.8780276844170779,0.006199274660191229,0.7920606016732042,True,False,-0.08286089,
Boc,0.003496432167039448,0.8817971884692968,0.008791958343938738,0.708480116256544,False,True,,0.08661456
Lrg1,0.002691468694728701,0.9088740636415941,-0.00022908811920024745,0.9922268861485785,False,True,,0.058647532
Fam20a,0.0002608546362699139,0.9911490683609447,-0.0013475452466805652,0.9543011546837089,True,True,-0.21255332,0.060751855
Pkp4,-0.001730146171654816,0.9413469310892739,-0.004463694211449404,0.8494454240154009,True,False,-0.05896813,
Csmd1,-0.0066913073309836585,0.7759806317116037,-0.014472917497170546,0.538215175706947,True,False,0.28067887,
Btg3,-0.009180162588352135,0.6962348197907823,-0.013057950825851181,0.5786674994609695,False,True,,0.07579318
Cenpp,-0.009780468740246517,0.677454866329775,-0.009852389445142848,0.6752179992372144,True,False,-0.07079121,
Thbs1,-0.01009935979807153,0.6675586625043315,-0.010884517876114648,0.6434405207113828,True,False,-0.099015534,
Khdrbs3,-0.01135285370688705,0.6292290354444541,-0.012668097025275962,0.590058693108021,True,False,-0.082384065,
Basp1,-0.01265059321864969,0.5905725516037601,-0.014204916652258199,0.5457669598158044,False,True,,0.070756465
Sgms1,-0.013276186000106108,0.5723362613643208,-0.013872107060114519,0.5552174433652832,True,False,-0.06666801,
Bcl11a,-0.015484250003338916,0.5101977133503731,-0.018577594889675336,0.4294649396087694,True,False,-0.093789585,
Kcnd2,-0.015855448475985804,0.5001088253602749,-0.01502889470122985,0.5227176587993969,True,False,-0.12990403,
Runx1,-0.016537179477170476,0.4818589381220004,-0.01514722487936597,0.5194490862940537,True,False,0.16670693,
Vegfc,-0.017292137518577128,0.4620786107956215,-0.022146106528635804,0.3462381590209531,True,False,-0.062735446,
Mob3b,-0.017346184668845795,0.4606801277162378,-0.01198560110835238,0.6102451646743692,True,True,0.072878495,0.06495703
1700025G04Rik,-0.018952377589202655,0.4202140312310667,-0.016555458096456328,0.48137465363720916,True,False,-0.08325941,
Camk1d,-0.021222504828361514,0.3667277559420391,-0.014569065772493155,0.5355187161354358,True,False,0.10206013,
Gm16599,-0.023486964042015904,0.31781634318235874,-0.02555359604979791,0.2770891687617479,True,False,-0.09416069,
Fam13b,-0.029303747117788194,0.21259835887213085,-0.021931931772997928,0.350923405995152,True,False,-0.08031416,
Rpl21,-0.02956039974403746,0.2086182350048599,-0.03446416940423972,0.14262792517157788,False,True,,-0.06232427
Pdzrn3,-0.029796497663284408,0.20500477334893602,-0.026753835687760647,0.2551414920628627,True,False,-0.0784465,
Rps13,-0.030188612854700096,0.19910431187135327,-0.03427296388648029,0.14485811872449927,True,True,-0.06944459,-0.060741905
Rpl26,-0.03117735427488888,0.18477843106244193,-0.03631829490900965,0.12234666959515406,True,True,-0.110144146,-0.0590656
Fam168a,-0.032213721820111986,0.17059599576128595,-0.03596516366624143,0.1260251035519851,True,False,-0.06849254,
Lpl,-0.034137864341834225,0.146449926077978,-0.033594687529405115,0.1529850906747079,True,False,-0.059750006,
Rps7,-0.034262611832624634,0.14497962107131177,-0.03868319811549921,0.0998305775133402,True,False,-0.103555836,
Rps28,-0.035888686020211995,0.12683296765649893,-0.04864099290201325,0.03847533767051438,False,True,,-0.07191208
Slmap,-0.03614335112325828,0.124158375780154,-0.023908135750332536,0.3092134703339813,True,False,-0.11843301,
Hp,-0.03645706369565715,0.12092432406550276,-0.04083937978962958,0.08230261663993883,True,False,-0.09993406,
St6gal1,-0.03801308367681459,0.10584666841550691,-0.0440633372356105,0.06082458568235909,True,False,-0.06746696,
Wls,-0.038028901988883555,0.10570141750896463,-0.011844970199722221,0.6144424373435928,True,False,-0.08179554,
Rpl17,-0.03837397215431866,0.10257196890353948,-0.04096818384947222,0.08133995623912754,True,True,-0.077912875,-0.059435736
Esrrg,-0.03908903516343051,0.09632165273311677,-0.041943485450522545,0.07434353063720654,True,False,-0.13035905,
Rpl38,-0.04069476115526059,0.08339445038295362,-0.04573023259780164,0.051683216079723523,False,True,,-0.05810743
Rpl9,-0.04179312145851155,0.07538899181205662,-0.053370721602255866,0.023129618811734257,False,True,,-0.07479883
Mphosph8,-0.04239239865628887,0.07129253539101918,-0.05546135168817015,0.01825563489388518,True,False,-0.06172345,
Rps20,-0.044572951793579785,0.057897588309313734,-0.053257367157765294,0.02342347930891956,True,False,-0.073561214,
Rpl39,-0.04591170078820274,0.0507612808304794,-0.04898224630835385,0.0371335403078696,True,True,-0.08362516,-0.06056291
Vgll4,-0.04664506230817924,0.04717453762131062,-0.026670834714213727,0.2566192276298285,True,False,-0.08694825,
Pvt1,-0.04683937150596139,0.046260715039487026,-0.05849987922750907,0.012776988715969703,True,False,-0.09936622,
Rpl37a,-0.0480718893735634,0.04080460136765216,-0.05374613129604771,0.02217912735100301,True,True,-0.13036263,-0.058699638
Sh3rf1,-0.048730696974370304,0.038118694842313824,-0.05091468501009447,0.030263326475935035,True,False,-0.07525129,
Cachd1,-0.04880653553698904,0.037819372935739795,-0.05315596061068163,0.023689104500270727,True,False,-0.09153667,
Gabrg3,-0.04900924614301537,0.03702909832540347,-0.051235405522263244,0.029235779103141252,True,True,-0.18495698,-0.09348297
Prickle2,-0.04941266010667556,0.035498117044658155,-0.05305745660890842,0.02394962300835668,True,True,-0.13008685,-0.06420413
Hells,-0.05197795684859337,0.02697123145876284,-0.05603037182896253,0.017095519369068314,True,False,-0.08377902,
Lrrc4,-0.0525532727779787,0.02532228817533475,-0.05333230962651284,0.023228837838496445,True,True,-0.12566982,-0.087471284
Zbtb7c,-0.05265526267587881,0.025039252444683618,-0.05582508021049,0.017506392828467658,True,False,-0.06602825,
Rpl6,-0.05327074346683356,0.023388634851392448,-0.05715966249972515,0.014983095989156668,True,True,-0.17810227,-0.08506691
Ano3,-0.056884581661225425,0.015475298968459542,-0.0552362640965961,0.01873321417113737,True,False,-0.11742023,
Pik3r1,-0.057298916677309936,0.01473922210562522,-0.05214987365307183,0.026469052852118806,True,False,-0.07076541,
Lrrc7,-0.05745299289329218,0.01447347030210779,-0.05516986297508625,0.018876170714661872,True,False,-0.10172115,
Rnf213,-0.057590723110835934,0.014239495341197103,-0.061539700845263196,0.008804616742057262,True,False,-0.121832594,
Mapk4,-0.05765391595733901,0.014133264263862924,-0.05640915224440514,0.016359568898331713,True,False,-0.102435805,
Neb,-0.059338686184363554,0.011547127979203046,-0.06155818036136809,0.008784292895469586,True,False,-0.08888771,
Rpsa,-0.06014851552104229,0.010460537617774702,-0.06557351169674046,0.0052445823307216,True,False,-0.08788653,
Rps15a,-0.061426210602881594,0.008930356848046581,-0.0656097915874205,0.00521955126839481,True,True,-0.08070491,-0.057395957
Arhgap26,-0.06161651249750384,0.008720413459178336,-0.06593532419640685,0.00499973185258274,True,False,-0.071170725,
Fry,-0.06791211599798418,0.0038352892727500855,-0.06797164352477092,0.003804397967634682,True,False,-0.07753941,
Etv6,-0.06983233218677239,0.002945660726321486,-0.04054854680316563,0.08451021853042555,True,False,-0.0854667,
0610040J01Rik,-0.07074283561233563,0.0025934714831672124,-0.07305187557884435,0.0018658453934048977,True,False,-0.10838197,
Lpgat1,-0.07169788311741798,0.002265757527976048,-0.06543524813736816,0.005340972700466491,True,False,-0.057882324,
Tmsb4x,-0.07231102330728732,0.0020758268454172317,-0.07483900684949903,0.0014370288804485343,True,False,-0.075009905,
Rps2,-0.07578597083668856,0.0012485448976783061,-0.08073626553798235,0.0005837745226286621,True,False,-0.06557801,
Myo9a,-0.07668106131095291,0.001091616743692752,-0.08287561185192957,0.0004148043621222885,True,True,-0.18759061,-0.074803926
Stat1,-0.07674507264785042,0.0010811239422887525,-0.07764116632558417,0.0009436935793785247,True,False,-0.096727,
Parp8,-0.07971831909726149,0.0006849258404850223,-0.08674705789116482,0.00021901057244105867,True,False,-0.08937875,
Patl2,-0.08004440629532335,0.0006508751585530864,-0.07848565855926176,0.0008291523691045897,True,False,-0.06485937,
Thada,-0.08204743546691377,0.00047391766720680453,-0.0736195156752007,0.001718351376578678,True,True,-0.24805877,-0.105595805
Pcsk6,-0.08501070706546943,0.00029260291207065884,-0.09052434310914498,0.00011450470752136487,True,False,-0.1146387,
Rps8,-0.08551486216244777,0.00026914397783174923,-0.08425674822695309,0.0003312801389058293,True,True,-0.068325125,-0.12902234
Parp14,-0.09186132353812229,9.047287991666103e-05,-0.09819363902221573,2.8397913760262835e-05,True,False,-0.09653081,
Pak3,-0.09885423664377214,2.506133461054372e-05,-0.10104409502739,1.646795459410378e-05,True,False,-0.1906546,
Rspo1,-0.1027145913111067,1.1885574284822082e-05,-0.10282360625883841,1.1633294230682086e-05,True,True,-0.3099857,-0.08275629
Slc2a9,-0.11582814537471356,7.716491368138567e-07,-0.11562574886408906,8.068230758024077e-07,True,True,-0.15003619,-0.059388578
Prkg1,-0.1347943117390332,8.480217376665765e-09,-0.13122486813495815,2.085178542450713e-08,True,True,-0.42756015,-0.12553294
H2-Q7,-0.14719765321336653,3.091705231582109e-10,-0.14830152174822653,2.2704188595342747e-10,True,True,-0.23605877,-0.07156029
H2-Q6,-0.1472692472200787,3.0306206394843086e-10,-0.14926239948298797,1.732080684379865e-10,True,False,-0.23586585,
B2m,-0.14909647470639814,1.81517653077566e-10,-0.14927369993521333,1.7265584640766055e-10,True,False,-0.14641091,
H2-K1,-0.18838015307752903,6.287321032085558e-16,-0.17061275519377656,2.687201296248858e-13,True,True,-0.29211515,-0.15872851
